here,worst_riskclass_l3m,no_daysarrs1_29_evr,capo_enqs_ever_cb,no_guarantors_mdi,worst_accstatus_l12m,customer_marital_status,no_daysarrs90_119_evr,no_daysarrs0_l3m,customer_employment_type,curbal_ugx,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,Uganda_CS_Scr
0.078160742,30,2,2, ,60,M,0,0, ,155064466,45,57,57,71,49,66,66,57,58,61,587
0.376575456,20,15,7, ,60,S,0,1,0,75760945,68,43,52,71,49,67,66,57,66,61,600
0.211819919,20,0,2, ,30,M,0,0,0,122986682,68,71,57,71,67,66,66,57,66,61,650
0.267146702,20,30, , ,60,M,0,1,0,70623596.79,68,43,65,71,49,66,66,57,66,61,612
0.715341503,20,0,2, ,30,M,0,1,0,30218303,68,71,57,71,67,66,66,57,66,61,650
0.830601027,60,9,1, ,60,S,1,0,0,63924578,25,51,57,71,49,67,58,57,66,61,562
0.671192703,20,1,2, ,60,M,0,1,0,154779632,68,61,57,71,49,66,66,57,66,61,622
0.827675349,20,1,4, ,30,M,0,1,0,118500000,68,61,57,71,67,66,66,57,66,61,640
0.73781026,20,0, , ,30,M,0,1,0,52784363,68,71,65,71,67,66,66,57,66,61,658
0.957617291,30,10,8, ,60,M,0,1,0,45258845,45,51,52,71,49,66,66,57,66,61,584
0.422541587,20,5,5, ,60,M,0,7,2,108705082,68,55,52,71,49,66,66,68,66,61,622
0.940367593,20,14,6, ,60,M,0,1,0,64477301,68,43,52,71,49,66,66,57,66,61,599
0.182987708,30,7,1, ,60,S,0,1,0,71445415,45,51,57,71,49,67,66,57,66,61,590
0.479797191,20,1,7, ,30,S,0,4,0,341153996,68,61,52,71,67,67,66,68,66,61,647
0.1209619,20,0,3, ,30,M,0,1,0,113741168,68,71,57,71,67,66,66,57,66,61,650
0.751716319,20,15, , ,60,S,0,1, ,21323433,68,43,65,71,49,67,66,57,58,61,605
0.638720262,20,6,3, ,60,S,0,0,0,22026708,68,51,57,71,49,67,66,57,66,61,613
0.806260526,20,24,8,0,60,M,0,1,0,180452784,68,43,52,72,49,66,66,57,66,61,600
0.430500061,0,5, , ,60,M,2,0, ,14403573,67,55,65,71,49,66,56,57,58,61,605
0.284995692,20,14,1, ,60,M,0,1,0,4488827,68,43,57,71,49,66,66,57,66,62,605
0.56550017,20,1,2, ,30,M,0,1,0,54240254,68,61,57,71,67,66,66,57,66,61,640
0.072836932,20,0,4, ,30,M,0,3,0,982063017,68,71,57,71,67,66,66,68,66,61,661
0.310143955,20,0,4, ,30,M,0,3,0,982063017,68,71,57,71,67,66,66,68,66,61,661
0.274445951,20,0,2, ,30,M,0,1, ,36415053,68,71,57,71,67,66,66,57,58,61,642
0.290651501,20,44,5, ,60,S,4,0,0,605552663.1,68,43,52,71,49,67,54,57,66,61,588
0.372440439,20,2,2, ,30,M,0,1,0,122166125,68,57,57,71,67,66,66,57,66,61,636
0.576146967,20,5,3, ,60,M,1,0,0,264311689,68,55,57,71,49,66,58,57,66,61,608
0.227011365,20,28,1, ,60,?,0,0, ,11898103,68,43,57,71,49,54,66,57,58,61,584
0.507415342,20,10,2, ,30,S,0,1,0,49673714,68,51,57,71,67,67,66,57,66,61,631
0.632125254,20,14,6, ,30,M,0,1, ,113616428,68,43,52,71,67,66,66,57,58,61,609
0.601785296,20,13,7,1,60,S,5,1,0,153315777,68,43,52,53,49,67,54,57,66,61,570
0.13350703,20,21,1,0,30,M,0,1, ,28180641,68,43,57,72,67,66,66,57,58,61,615
0.294979969,30,37,3,0,60,M,0,1,0,395591396,45,43,57,72,49,66,66,57,66,61,582
0.856247349,20,0, , ,30,M,0,1,0,37075475,68,71,65,71,67,66,66,57,66,61,658
0.287934087,20,10,1, ,30,?,0,1, ,52052040,68,51,57,71,67,54,66,57,58,61,610
0.433253997,20,4,5, ,30,D,1,1, ,106567658,68,55,52,71,67,62,58,57,58,61,609
0.755736753,20,4,5, ,30,D,1,1, ,106567658,68,55,52,71,67,62,58,57,58,61,609
0.03182736,20,0,2, ,30,S,0,1, ,29594120,68,71,57,71,67,67,66,57,58,61,643
0.181818007,20,0, , ,30,M,0,0,0,231512210,68,71,65,71,67,66,66,57,66,61,658
0.119126222,20,1,2, ,30,M,0,1,0,37090591,68,61,57,71,67,66,66,57,66,61,640
0.002146369,20,1,4, ,30,S,0,1,0,39814830,68,61,57,71,67,67,66,57,66,61,641
0.977164944,20,0,2, ,30,M,0,0,0,17900774,68,71,57,71,67,66,66,57,66,61,650
0.883351582,20,0,3, ,30,S,0,1,0,42075966,68,71,57,71,67,67,66,57,66,61,651
0.90419579,20,44,2, ,60,M,0,1,0,52770903,68,43,57,71,49,66,66,57,66,61,604
0.482206003,20,32,6,2,60,S,1,0,0,71686580,68,43,52,53,49,67,58,57,66,61,574
0.404692341,20,1,1, ,30,M,0,1, ,23178113,68,61,57,71,67,66,66,57,58,61,632
0.334301625,20,1,4, ,30,M,0,1,0,53134205,68,61,57,71,67,66,66,57,66,61,640
0.543748505,20,2,4, ,30,D,0,0,0,61610020,68,57,57,71,67,62,66,57,66,61,632
0.125320461,20,5,2, ,30,M,0,1,0,17212436,68,55,57,71,67,66,66,57,66,61,634
0.672584821,20,13,3, ,60,M,0,1,1,39240392,68,43,57,71,49,66,66,57,66,61,604
0.206778525,20,2,4, ,60,S,0,1, ,56430161,68,57,57,71,49,67,66,57,58,61,611
0.112455225,20,6,2, ,60,M,0,1, ,15706248,68,51,57,71,49,66,66,57,58,61,604
0.478133781,20,1,2, ,60,M,0,0,0,73860101,68,61,57,71,49,66,66,57,66,61,622
0.641213664,20,0,1, ,30,S,0,1,0,126631749,68,71,57,71,67,67,66,57,66,61,651
0.143795987,40,13,1, ,60,M,6,0,0,146600975,25,43,57,71,49,66,54,57,66,61,549
0.954573747,20,6,1, ,60,M,0,1, ,17800968,68,51,57,71,49,66,66,57,58,61,604
